lambda_Hphi,q_initial,T_osc_GeV,phi_initial_over_Mpl,r_osc,delta_v_over_v_BBN,r_eq
1.00000000e-36,1.00000000e-01,1.40846881e+01,1.15017460e+01,2.32614642e+01,2.55351296e-15,1.09628245e+12
1.00000000e-34,1.00000000e-01,4.45393574e+01,1.15017460e+00,2.32621685e-01,1.11022302e-16,3.46682823e+10
1.00000000e-33,1.00000000e-01,7.92033034e+01,3.63717143e-01,2.32623080e-02,0.00000000e+00,6.16501700e+09
1.00000000e-32,1.00000000e-01,1.28948538e+02,1.15017460e-01,2.32623547e-03,0.00000000e+00,1.12904300e+09
1.00000000e-31,1.00000000e-01,1.60000000e+02,3.63717143e-02,9.81385037e-04,0.00000000e+00,5.91016769e+08
1.00000000e-20,1.00000000e-01,1.60000000e+02,1.15017460e-07,9.81385037e-04,0.00000000e+00,5.91016769e+08
1.00000000e-08,1.00000000e-01,1.60000000e+02,1.15017460e-13,9.81385037e-04,0.00000000e+00,5.91016769e+08
