model,status,category,name,path,expected_size_bytes,actual_size_bytes,size_matches,exists,sha256
base_mnu_w_wa,chains_ingested,chain,chain.1.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.1.txt,42745248,42745248,True,True,9b31953f68c3005d3f3c3468dd212548895dc948d3b626a949599b4c3673a28d
base_mnu_w_wa,chains_ingested,chain,chain.2.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.2.txt,42611972,42611972,True,True,63b863c3b60d92287bec0a38c927946fc936b8eb7e55a8113f5d17e1963acbb7
base_mnu_w_wa,chains_ingested,chain,chain.3.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.3.txt,43039760,43039760,True,True,7a2c4b8ca21f65cad465fbcf44948292e916f0a713d5a7abb0267908a9ade484
base_mnu_w_wa,chains_ingested,chain,chain.4.txt,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.4.txt,43056536,43056536,True,True,b5375ce896e9acc1dd0e48db196b3d16c50cbcb5e45bf8889f2c363d90d56122
base_mnu_w_wa,chains_ingested,metadata,chain.checkpoint,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.checkpoint,108,108,True,True,6579aa1fb1d6fe5a3736510de9623efa068935a0b7553ed6729d0681ca14375c
base_mnu_w_wa,chains_ingested,metadata,chain.covmat,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.covmat,8367,8367,True,True,73f3024c8d1f62ae0b4b671ce60a008e4506f11e0f66c1e780d3dccdfc89463d
base_mnu_w_wa,chains_ingested,metadata,chain.input.yaml,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.input.yaml,4124,4124,True,True,cc2c4a44940781219c43fb35c77857f0ab6cf9a30ab096eba9f392979e47839a
base_mnu_w_wa,chains_ingested,metadata,chain.margestats,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.margestats,4857,4857,True,True,d577c0499e9d5c9f3033e53a8f913ff81640c7adea88a8502d5f5baf68104121
base_mnu_w_wa,chains_ingested,metadata,chain.progress,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.progress,8179,8179,True,True,8e82dae576602b1bd35f6b7e4bd151daedc72978673cb4b38f58b4dda5e66179
base_mnu_w_wa,chains_ingested,metadata,chain.updated.yaml,data_external/desi_dr2/cosmology_chains_verified/cosmology_chains/cobaya/base_mnu_w_wa/desi-bao-all_planck2018-lowl-TT-clik_planck2018-lowl-EE-clik_planck-NPIPE-highl-CamSpec-TTTEEE_planck-act-dr6-lensing/chain.updated.yaml,9716,9716,True,True,05313a97ac4a7e8bd996c2ce0070da8353a733c1c83eacc93f3eafd3a09e8b4f
