lower_eV,m_lightest_median_eV,m_lightest_upper95_eV,median_eV,prior,upper95_eV
0.0,,,0.02039532558768333,uniforme_Sigma_ge_0,0.06419999999956733
0.05870910464100896,,,0.06922518696122645,uniforme_Sigma_ge_plancher_NO,0.0984705931295478
0.09883952325626025,,,0.10644955153029839,uniforme_Sigma_ge_plancher_IO,0.12919569477878287
0.0,0.005791831158707187,0.019451315617699718,0.06922620327887295,uniforme_m_lightest_0_1eV_NO,0.09847139040897801
0.0,0.005587461400127403,0.019462733978371973,0.10645037889919408,uniforme_m_lightest_0_1eV_IO,0.1291964063897561
